x_a,y_a,z_a,x_g,y_g,z_g
-0.24308574,-0.9089737,0.024524689,-0.5504754,0.3669836,-0.3864247
-0.24308574,-0.9089737,0.024524689,-0.24101609,0.34408042,-0.43409526
-0.8511596,-0.28725868,-0.158988,-0.055127434,0.299073,-0.5022722
-1.1928681,0.3177655,-0.110248566,0.025566347,0.27563718,-0.5773733
-1.4536793,0.15556312,0.13840389,0.026631612,0.23409186,-0.572047
-1.4848039,-0.50523657,0.33233452,0.02956109,0.17869811,-0.51292485
-1.2506897,-0.90664476,0.52484035,0.06711166,0.13502227,-0.49428272
-1.2506897,-0.90664476,0.52484035,0.13901702,0.12863068,-0.520648
-1.3680632,-1.0866845,0.47443962,0.21491711,0.13369069,-0.5222459
-1.3680632,-1.0866845,0.47443962,0.24367924,0.11984225,-0.5044027
-1.7399776,-0.34157205,0.15064621,0.21491711,0.0974717,-0.47723848
-1.7399776,-0.34157205,0.15064621,0.13528858,0.06657903,-0.42397526
-1.83869,-0.27958292,-0.10009956,0.05539375,0.02396845,-0.36432046
-1.8434784,-0.5381568,-0.17431927,0.024234766,-0.018375812,-0.31318775
-1.6219866,-0.7423714,-0.1621294,0.030626353,-0.040746365,-0.2905509
-1.3905823,-0.66451854,0.036269188,0.11451593,-0.12623383,-0.26684874
-1.0949247,-0.25193888,0.0148181915,0.1488707,-0.15606125,-0.262854
-0.8562007,0.2396068,-0.002755165,0.23382555,-0.23462449,-0.24740767
-0.75465703,0.70691323,-0.021539688,0.2495382,-0.25353295,-0.2444782
-0.5246277,1.0667517,-0.040920258,0.25220135,-0.27803403,-0.20719394
-0.46113968,1.1422082,-0.10331535,0.22397186,-0.30839407,-0.18375812
-0.46113968,1.1422082,-0.10331535,0.035952676,-0.34860778,-0.16911073
-0.23859787,0.6525557,0.18326855,-0.049534798,-0.36591834,-0.15792546
-0.010714769,-1.4638977,-0.38101006,-0.082025364,-0.39734364,-0.09241169
0.25438023,-1.7727637,-0.09712219,0.09827065,-0.39574575,0.014114754
1.2494402,-1.5169842,1.06849,0.3334278,-0.34967306,-0.007989483
1.3706727,-0.96984434,1.4269733,0.41385525,-0.22690132,-0.15819177
1.316676,0.33072716,1.7592831,0.42077947,-0.03542004,-0.29694247
0.85547477,0.76517737,1.5716858,0.2876214,0.13448964,-0.2894856
0.5156034,0.3165291,1.0877104,-0.0013315806,0.20559604,-0.17603496
0.3222705,-0.3541289,0.4825325,-0.2543319,0.2034655,-0.104928546
0.3222705,-0.3541289,0.4825325,-0.4034689,0.19121496,-0.08628642
0.33205628,-0.28809637,-1.2880335,-0.5161206,0.18082865,-0.07376956
0.27287412,-0.23827887,-1.809938,-0.60080916,0.17044231,-0.023435818
0.1819762,-0.29958534,-1.2966766,-0.62744075,0.16325177,0.07590009
0.28817534,-0.49088347,-0.8418093,-0.4575311,0.18322548,0.19467708
0.38970447,-0.6460829,-0.60988426,-0.24554345,0.1438107,0.2031992
0.26388264,-0.6615077,-0.15967464,-0.10892329,0.114782244,0.2050634
0.03959644,-0.8169249,0.23383713,-0.028229509,0.13369069,0.26178873
-0.20164943,-0.8141631,0.42685223,0.020240024,0.111852765,0.2593919
-0.5028837,-0.6879574,0.65559673,0.022104237,0.03222425,0.18429075
-0.5028837,-0.6879574,0.65559673,0.042077947,-0.083889574,0.1323591
-0.8252473,-0.34482908,0.31497955,0.058589544,-0.20905815,0.12596752
-0.91450906,0.21593285,-0.12646866,0.06578008,-0.34621096,0.045007423
-1.0342766,0.37241048,-0.29383278,0.01304949,-0.45167214,-0.015978966
-1.099127,0.11912477,0.10219288,-0.073236935,-0.47031426,0.034088463
-0.7372068,0.5695752,0.3656788,-0.113983296,-0.4149205,0.07350325
-0.77907383,0.3645286,0.8040333,-0.046339005,-0.4079963,-0.052996907
-0.46121526,0.9054946,1.3548918,-0.1387507,-0.2330266,0.0314253
-0.1742413,1.0280768,1.8803806,-0.25646242,-0.07749799,0.03355583
-0.115279436,0.60827005,2.257865,-0.41625208,0.076965354,0.008788432
-0.115279436,0.60827005,2.257865,-0.46898267,0.20799288,0.0
-0.3173058,-0.21177363,1.5607843,-0.41731736,0.3121225,-0.03355583
-0.3173058,-0.21177363,1.5607843,-0.3685815,0.3885552,-0.08149273
-0.6764959,0.2984779,-0.34669876,-0.4063984,0.42743737,-0.104928546
-0.74463224,0.35110593,-0.89167976,-0.4394216,0.42104578,-0.10013486
-0.5172236,0.14411879,-0.9504366,-0.5110606,0.38402784,-0.054062173
-0.18872952,-0.20588171,-0.55629444,-0.50626695,0.32117724,0.0037284256
0.25905704,-0.18047428,-0.035917282,-0.47217846,0.32304144,0.01917476
0.44688296,-0.058008432,0.23097801,-0.26818034,0.32730252,-0.029827405
0.17484856,-0.05723667,0.3710022,-0.16085494,0.29561087,-0.079095885
0.17484856,-0.05723667,0.3710022,0.068176925,0.23702134,-0.054594804
0.10776615,0.30843008,0.1022892,0.10279802,0.21118867,-0.055127434
0.04832053,0.31635642,0.037477493,0.103863284,0.14674018,-0.08948222
-0.051404715,0.23625588,0.04155922,0.09134643,0.080960095,-0.10439592
-0.0052456856,0.49348062,-0.04340458,0.0793622,0.008522116,-0.09374327
0.027669907,0.5907657,-0.0797596,0.051931642,-0.04314321,-0.08974853
0.11637902,0.5083862,-0.058696747,0.0002663161,-0.086020105,-0.087618
0.13183832,0.3705207,0.029718399,-0.033822145,-0.11984225,-0.07590009
0.24221873,0.111260176,0.08179569,-0.026365295,-0.13156016,-0.05672533
0.3610301,-0.029633284,0.09829235,-0.011185277,-0.12117383,-0.057790596
0.3610301,-0.029633284,0.09829235,0.025566347,-0.10652645,-0.08468852
0.22160399,-0.38983643,0.33663464,0.11132014,-0.10040118,-0.10359697
0.16816127,-0.15939474,0.40849686,0.2000034,-0.084155895,-0.1025317
0.20548236,0.16520047,0.39857292,0.21518342,-0.06178534,-0.098004326
0.17120159,0.14440441,0.45302963,0.14940333,-0.05566007,-0.0892159
0.1827606,-0.085980415,0.47991085,0.082025364,-0.057790596,-0.08175905
0.21430898,-0.13107407,0.51417255,0.04527374,-0.06551377,-0.094009586
0.24533308,-0.09628677,0.37851334,0.029028457,-0.072970614,-0.11052119
0.21693456,-0.12072861,0.50679684,0.019707393,-0.079095885,-0.13448964
0.027775764,-0.33824062,0.69229984,0.07190535,-0.10918961,-0.15899073
0.027775764,-0.33824062,0.69229984,0.13901702,-0.14913702,-0.16112125
0.11000705,0.13677418,0.5968752,0.23835292,-0.16911073,-0.24847293
-0.17490149,0.46477807,0.35984993,0.25300032,-0.15978967,-0.30173615
0.09963083,0.61354285,0.60978794,0.03355583,-0.17044231,-0.18109496
0.06744909,0.62810975,0.6057167,-0.12676647,-0.22796659,-0.20959078
-0.14011681,0.1580869,-0.16524601,-0.11558119,-0.13502227,-0.35606465
0.48526573,0.68691903,0.47542858,-0.40506682,-0.004527374,-0.04181163
0.54150224,-0.30489075,0.9459934,-0.5094627,-0.010386328,-0.09081379
0.44094586,-1.0255455,1.2021723,-0.46924898,0.09241169,-0.096939065
0.25304997,-0.8725383,1.1079454,-0.26045716,0.15073492,-0.08681905
